issue_id,award_id,userid,issue_reason,issue_time
7265,18,46317,Congrats on 5 years in AOD!,1622123506
7269,18,34084,Congrats on 5 years in AOD!,1622123573
7270,127,81196,Congrats you nutty collector!,1622147433
7273,18,46072,"",1622155408
7296,180,54447,Reached lvl 100,1623187998
7301,139,3563,"Over 15 Years of service, bud! Congratulations!",1623552677
7304,180,66203,Reached lvl 100,1623614360
7314,127,73016,Congrats you nutty collector!,1623769624
7317,182,73016,"What will you do now that you're done with campaigning? I know, you can recruit!",1623769692
7339,5,75182,Awarded for earning either BR 120 or ASP Access in Planetside 2,1624756557
7340,68,75182,WarBoss with Commander Helmet,1624756680
7341,68,72956,Leadership Directive,1624756754
7358,187,73016,This award is for any member who has completely researched all vessels (excluding freemium/premium) for any 5 Nations.,1625951907
7359,126,73016,For completing all available operations with a five star rating.,1625951940
7368,5,80758,Enrolled in the Advanced Specialization Program.,1625952793
7376,126,78817,For completing all available operations with a five star rating.,1626063975
7399,180,81238,Reached lvl 100,1626596290
7432,221,27594,Served as an effective force commander during Weekly Operations.,1628004196
7433,221,45279,Served as an effective force commander during Weekly Operations.,1628004228
7441,180,82231,Reached lvl 100,1628380571
7446,41,45501,Member of the Reaper Operation Group,1628475240
7449,19,15725,"",1628969509
7454,213,61984,You successfully earned the title of Conqueror.,1629214536
7455,149,61984,You successfully earned the title of Cursebreaker.,1629214561
7456,149,56660,You successfully earned the title of Cursebreaker.,1629214581
7457,147,56660,You successfully earned the title of Dredgen.,1629214614
7467,18,58289,5 years with AOD!,1630333735
7477,18,27750,5 years,1631130912
7492,18,45279,"",1631395248
7507,18,47415,5 years with AOD!,1631994920
7510,5,59896,Enrolled in the Advanced Specialization Program. Overdue I imagine.,1632432706
7511,221,75182,Served as an effective force commander during Weekly Operations.,1632442964
7516,18,47708,5 years in AOD,1632916675
7517,147,62068,You're a Dredgen!,1632916775
7526,43,30768,CO Invitational Winner,1633233426
7527,43,72043,CO Invitational Winner,1633233448
7528,43,80420,CO Invitational Winner,1633233469
7529,43,75265,CO Invitational Winner,1633233499
7531,43,64526,CO Invitational Winner,1633233526
7539,43,80224,CO Invitational Winner,1633233634
7542,43,81309,CO Invitational Winner,1633233674
7543,43,80758,CO Invitational Winner,1633233698
7544,43,78215,CO Invitational Winner,1633233711
7548,43,79128,CO Invitational Winner,1633233778
7549,43,77953,CO Invitational Winner,1633233792
7550,43,39188,CO Invitational Winner,1633233827
7552,43,67032,CO Invitational Winner,1633233860
7554,43,36609,CO Invitational Admin,1633233902
7555,43,37184,CO Invitational Admin,1633233917
7556,43,54941,CO Invitational Admin,1633233933
7558,43,50789,CO Invitational Admin,1633233957
7560,43,27004,CO Invitational Admin,1633233976
7561,43,53201,CO Invitational Admin,1633233987
7562,43,51663,CO Invitational Admin,1633233999
7563,43,58029,CO Invitational Admin,1633234008
7566,68,78756,WarBoss with Commander Helmet,1633489198
7567,5,78215,Enrolled in the Advanced Specialization Program,1633489390
7574,41,78349,Former Commander; Member of the Reaper Operation Group,1633919100
7578,18,47415,5 Years with AOD!,1634177252
7580,179,75819,Super Duper,1634433200
7581,179,66203,Super Duper,1634433665
7588,179,78816,Super Squad Sat,1634434160
7589,180,78624,Reached lvl 100,1634599469
7621,221,60257,Served as an effective force commander during Weekly Operations.,1635735869
7627,182,78547,What will you do now that you're done with campaigning?,1636359830
